Name,Gender
Ramakrishna,Male
Ramesh Babu,Male
Raviteja,Male
Roshan,Male
Sagar,Male
Sai Charan,Male
Sai Krishna,Male
Sai Kumar,Male
Sai Prasad,Male
Samrat,Male
Sandeep,Male
Sekhar,Male
Shashank,Male
Shivakumar,Male
Somesh,Male
Sreekanth,Male
Subash,Male
Sudarshan,Male
Sumanth,Male
Surender,Male
Tejendra,Male
Tilak,Male
Umesh,Male
Vaibhav,Male
Vardhan,Male
Vasu,Male
Veeresh,Male
Vijender,Male
Vikram,Male
Vimal,Male
Virat,Male
Vishwanath,Male
Yuvraj,Male
Priya,Female
Anjali,Female
Pooja,Female
Divya,Female
Kavya,Female
Sneha,Female
Lakshmi,Female
Sita,Female
Bhavya,Female
Keerthi,Female
Deepika,Female
Nandini,Female
Harika,Female
Swathi,Female
Meghana,Female
Aishwarya,Female
Akshaya,Female
Amrutha,Female
Anitha,Female
Archana,Female
Bhargavi,Female
Chandana,Female
Deepthi,Female
Durga,Female
Gayathri,Female
Geetha,Female
Hema,Female
Indu,Female
Jyothi,Female
Kalyani,Female
Keerthana,Female
Lavanya,Female
Madhavi,Female
Mamatha,Female
Manasa,Female
Navya,Female
Neha,Female
Niharika,Female
Padma,Female
Pallavi,Female
Parvathi,Female
Pranathi,Female
Preethi,Female
Radhika,Female
Rajani,Female
Ramya,Female
Rekha,Female
Reshma,Female
Revathi,Female
Sailaja,Female
Sangeetha,Female
Saritha,Female
Shalini,Female
Shilpa,Female
Sirisha,Female
Soujanya,Female
Sowmya,Female
Sravanthi,Female
Sreeja,Female
Srilatha,Female
Subhashini,Female
Sunitha,Female
Supriya,Female
Swetha,Female
Uma,Female
Usha,Female
Vaishnavi,Female
Vani,Female
Varalakshmi,Female
Vasavi,Female
Vidya,Female
Vijaya,Female
Yamini,Female
Yasmeen,Female
Aparna,Female
Aruna,Female
Bhanu,Female
Chitra,Female
Damini,Female
Devi,Female
Ganga,Female
Harshini,Female
Ishwarya,Female
Janani,Female
Kalpana,Female
Kamakshi,Female
Kusuma,Female
Leela,Female
Likhitha,Female
Malathi,Female
Monika,Female
Nalini,Female
Padmavathi,Female
Prasanna,Female
Rani,Female
Roja,Female
Sandhya,Female
Shanthi,Female
Sudha,Female
Tulasi,Female
Urmila,Female
Veena,Female
Vinaya,Female
Aditi,Female
Advika,Female
Akhila,Female
Akriti,Female
Alekhya,Female
Amala,Female
Amulya,Female
Ananya,Female
Anusha,Female
Anupama,Female
Apoorva,Female
Arpita,Female
Ashwini,Female
Asmita,Female
Avani,Female
Bhuvana,Female
Bindiya,Female
Charitha,Female
Charulatha,Female
Darshana,Female
Deeksha,Female
Dharani,Female
Dhatri,Female
Eesha,Female
Farah,Female
Gauri,Female
Harshitha,Female
Himabindu,Female
Himaja,Female
Ishita,Female
Jahnavi,Female
Jaya,Female
Jayashree,Female
Jeevitha,Female
Joshna,Female
Kajal,Female
Kanchana,Female
Karuna,Female
Kavitha,Female
Komal,Female
Krithika,Female
Kumari,Female
Lalitha,Female
Likitha,Female
Lohitha,Female
Madhumitha,Female
Mahalakshmi,Female
Mahima,Female
Manjula,Female
Medha,Female
Mohana,Female
Mrudula,Female
Mythili,Female
Nabha,Female
Namratha,Female
Nayana,Female
Nikitha,Female
Nisha,Female
Pavani,Female
Pinky,Female
Poojitha,Female
Prathyusha,Female
Praveena,Female
Priyanka,Female
Rachana,Female
Rajeshwari,Female
Rakshitha,Female
Ranjani,Female
Renuka,Female
Ritika,Female
Sahithi,Female
Sakshi,Female
Samatha,Female
Samhitha,Female
Sanjana,Female
Sarayu,Female
Sharmila,Female
Shobha,Female
Shravani,Female
Shruthi,Female
Sindhu,Female
Smitha,Female
Sonali,Female
Soundarya,Female
Sri Divya,Female
Srujana,Female
Sujatha,Female
Sukanya,Female
Sushma,Female
Syamala,Female
Tanmayi,Female
Tejaswini,Female
Triveni,Female
Udayasri,Female
Vaidehi,Female
Vandana,Female
Varsha,Female
Vedha,Female
Vennela,Female
Vibhavari,Female
Vidhya,Female
Vimala,Female
Vinitha,Female
Vishnupriya,Female
Yagna,Female
Yashaswini,Female
Yogitha,Female
Zarina,Female
Abinaya,Female
Anagha,Female
Anvika,Female
Arya,Female
Bhavana,Female
Diksha,Female
Hansika,Female
Ishani,Female
Jyoshna,Female
Kanika,Female
Kashish,Female
Mansi,Female
Meenakshi,Female
Mithra,Female
Pavithra,Female
Prerna,Female
Ritika Sharma,Female
Sahana,Female
Sharvani,Female
Tanisha,Female
Tanvi,Female
Trisha,Female
Vagdevi,Female
Yuktha,Female
Kanoj,Male
Radha,Female
Revathi,Female
Souji,Females
